date,location,percent_fully,left
2021-05-11,Afghanistan,0.0014288818524272587,0.010101997411089263
2021-05-20,Afghanistan,0.001992378765897062,0.010089846880451442
2021-05-24,Afghanistan,0.00248944592835333,0.009747576964556491
2021-05-26,Afghanistan,0.0028534994594298277,0.009460716550957052
2021-02-03,Africa,3.72967853043666e-9,2.887591711834671e-5
2021-02-04,Africa,3.72967853043666e-9,2.887591711834671e-5
2021-02-05,Africa,3.72967853043666e-9,2.887591711834671e-5
2021-02-06,Africa,1.1830540298545086e-6,2.807105249147848e-5
2021-02-08,Africa,2.9688241102275815e-6,2.6378524374366324e-5
2021-02-09,Africa,4.997769230785125e-6,2.4356292675163566e-5
2021-02-10,Africa,7.709245522412577e-6,2.1647054190654376e-5
2021-02-11,Africa,1.0343890436313034e-5,1.918099074632966e-5
2021-02-12,Africa,1.0343890436313034e-5,1.918099074632966e-5
2021-02-13,Africa,1.0578114248024457e-5,2.18163815959362e-5
2021-02-15,Africa,1.2263928943781826e-5,2.0137280321533615e-5
2021-02-16,Africa,1.3558127393843348e-5,1.884830342141471e-5
2021-02-17,Africa,1.4554697497176024e-5,2.0581858002361665e-5
2021-02-18,Africa,1.7100576062052087e-5,2.030511585540327e-5
2021-02-19,Africa,2.4608418943821087e-5,0.0017749860878701685
2021-02-20,Africa,3.393186933420665e-5,0.0018360215310850583
2021-02-21,Africa,3.764215353628504e-5,0.0018364064339093994
2021-02-22,Africa,5.096605711841696e-5,0.001907586602727077
2021-02-23,Africa,6.484195312305352e-5,0.0019676463620384044
2021-02-24,Africa,7.645766393824545e-5,0.0021746688822916463
2021-02-25,Africa,8.935713010361368e-5,0.002366803271787091
2021-02-26,Africa,1.369567793804585e-4,0.0024608150406966894
2021-02-27,Africa,1.8854121719922187e-4,0.0025011627030389534
2021-02-28,Africa,1.9094611391564745e-4,0.0025045216515234645
2021-03-01,Africa,2.46350488485284e-4,0.002558097737677481
2021-03-02,Africa,2.939911642259637e-4,0.002585086437459427
2021-03-03,Africa,3.497401610918126e-4,0.0026070572277465233
2021-03-04,Africa,3.9510797073604413e-4,0.0026315313782632483
2021-03-05,Africa,4.66017364892412e-4,0.002673378371374748
2021-03-06,Africa,5.259853741118909e-4,0.002707373645243972
2021-03-07,Africa,5.259853741118909e-4,0.002737733974417432
2021-03-08,Africa,5.81650080242952e-4,0.002886395976897813
2021-03-09,Africa,6.345928669825003e-4,0.0028891454959104512
2021-03-10,Africa,7.534360896120402e-4,0.0029215138840046986
2021-03-11,Africa,8.482251235273819e-4,0.002879284225875977
2021-03-12,Africa,0.0010422288279022813,0.002727902541811201
2021-03-13,Africa,0.0012265555083621096,0.0026605900496295865
2021-03-14,Africa,0.0012265555083621096,0.0026729151453012676
2021-03-15,Africa,0.0014491046803375592,0.00252264341356715
2021-03-16,Africa,0.0016011688955734043,0.0024012781823153292
2021-03-17,Africa,0.001725152361153592,0.002312065763738696
2021-03-18,Africa,0.001731950073243166,0.0024448990105359033
2021-03-19,Africa,0.001912447865723648,0.0023179810338879686
2021-03-20,Africa,0.0019654331707984435,0.002280904299616898
2021-03-21,Africa,0.0019654331707984435,0.002296977722211668
2021-03-22,Africa,0.0020352840821878733,0.002248459826080629
2021-03-23,Africa,0.002104057116482007,0.002235046410213767
2021-03-24,Africa,0.002304496754129028,0.0025425539294340336
2021-03-25,Africa,0.0024836966184809185,0.00240786852427861
2021-03-26,Africa,0.0026134685451403438,0.0023567398531762662
2021-03-27,Africa,0.0026899635058638934,0.0024472531836243153
2021-03-28,Africa,0.002691949932649204,0.0026363650416386946
2021-03-29,Africa,0.002792061217827479,0.0026009756139347925
2021-03-30,Africa,0.0028871493719609615,0.002566570821362927
2021-03-31,Africa,0.0029800474588613716,0.002740334306288853
2021-04-01,Africa,0.00305649691750685,0.0027804842956690033
2021-04-02,Africa,0.0031137706069559417,0.0027806349746816333
2021-04-03,Africa,0.0031523317532821263,0.0028043922809848085
2021-04-04,Africa,0.0031525376315370062,0.0028564929063121846
2021-04-05,Africa,0.0031969961455555174,0.002883008682856471
2021-04-06,Africa,0.003232490750193977,0.003067735930790468
2021-04-07,Africa,0.0032815763033973476,0.0032558721049012846
2021-04-08,Africa,0.003314213974281493,0.0037458511624803396
2021-04-09,Africa,0.0033399942582195774,0.0038149598678422127
2021-04-10,Africa,0.0033693266879900492,0.0038761534494267938
2021-04-11,Africa,0.0033799958063942164,0.003966247564008022
2021-04-12,Africa,0.0033814130842357826,0.004047567236878543
2021-04-13,Africa,0.0033909946283804744,0.004104698452607773
2021-04-14,Africa,0.003400488898047554,0.004354715215088476
2021-04-15,Africa,0.0034220345049821802,0.004398722438004805
2021-04-16,Africa,0.0034319375474161956,0.004549165734951323
2021-04-17,Africa,0.0034372568149363043,0.00476118378662823
2021-04-18,Africa,0.00345387626246793,0.0051513954353895166
2021-04-19,Africa,0.0034675723879674,0.005285049957399127
2021-04-20,Africa,0.0034789732692992385,0.0053863025242077145
2021-04-21,Africa,0.0034910410171523193,0.005520732073415949
